areaCode,areaName,areaType,date,newAdmissions,newAdmissionsChangePercentage,newAdmissionsRollingRate
K02000001,United Kingdom,overview,2020-05-06,1206,-14.9,13.0
K02000001,United Kingdom,overview,2020-05-05,1146,-12.4,13.4
K02000001,United Kingdom,overview,2020-05-04,1250,-10.5,14.0
K02000001,United Kingdom,overview,2020-05-03,1188,-9.5,14.4
K02000001,United Kingdom,overview,2020-05-02,1180,-10.5,14.6
K02000001,United Kingdom,overview,2020-05-01,1262,-12.8,14.8
K02000001,United Kingdom,overview,2020-04-30,1443,-13.8,15.2
K02000001,United Kingdom,overview,2020-04-29,1489,-16.7,15.3
K02000001,United Kingdom,overview,2020-04-28,1517,-18.8,15.3
K02000001,United Kingdom,overview,2020-04-27,1538,-19.6,15.6
K02000001,United Kingdom,overview,2020-04-26,1355,-20.7,15.9
K02000001,United Kingdom,overview,2020-04-25,1255,-20.8,16.4
K02000001,United Kingdom,overview,2020-04-24,1525,-21.2,16.9
K02000001,United Kingdom,overview,2020-04-23,1513,-20.8,17.6
K02000001,United Kingdom,overview,2020-04-22,1527,-20.8,18.3
K02000001,United Kingdom,overview,2020-04-21,1713,-23.8,18.9
K02000001,United Kingdom,overview,2020-04-20,1737,-26.3,19.4
K02000001,United Kingdom,overview,2020-04-19,1657,-27.5,20.0
K02000001,United Kingdom,overview,2020-04-18,1629,-28.6,20.7
K02000001,United Kingdom,overview,2020-04-17,1966,-28.7,21.5
K02000001,United Kingdom,overview,2020-04-16,2011,-27.9,22.2
